z,d_L,Δd_L
2.494659560693087696e-01,1.298915372050792712e+03,8.374416883685915991e+01
2.317233933606988594e-01,1.194881339830549450e+03,7.703684690773611976e+01
2.302342403293167472e-01,1.186223412073446070e+03,7.647864967682380666e+01
2.046742342963345784e-01,1.039431741891374713e+03,6.701464095378959485e+01
2.207231075834586165e-01,1.131198439189320879e+03,7.293105857227293143e+01
2.219506019583138978e-01,1.138273280293147991e+03,7.338719043478020865e+01
2.203988701853307197e-01,1.129330972165634421e+03,7.281065852382177184e+01
2.203029875568632834e-01,1.128778835660659297e+03,7.277506096782347811e+01
2.484182067294644358e-01,1.292727148486619853e+03,8.334519931959175665e+01
2.102686983689118772e-01,1.071265193953627659e+03,6.906701945474794968e+01
2.220178162867081362e-01,1.138660908294905767e+03,7.341218173561749438e+01
2.169304379424532025e-01,1.109388941564656761e+03,7.152494829701819867e+01
2.289182742563063144e-01,1.178581981403623786e+03,7.598598843503835099e+01
2.481320156600094473e-01,1.291037814301428853e+03,8.323628391965839057e+01
2.423757100782300555e-01,1.257147952677971944e+03,8.105132379467990233e+01
2.747649234327447787e-01,1.450009976170863411e+03,9.348559796306308556e+01
2.765444602766676252e-01,1.460757602221797697e+03,9.417852302190185299e+01
2.504821843798666903e-01,1.304922746023955597e+03,8.413147855010123521e+01
2.604519597534630249e-01,1.364134912234000922e+03,8.794902798479704131e+01
2.768757779323675061e-01,1.462760332109545061e+03,9.430764378947682758e+01
2.606332469735082591e-01,1.365216230267299125e+03,8.801874313475626366e+01
2.537698614747170289e-01,1.324393466502565843e+03,8.538680229037048264e+01
2.532787280291273757e-01,1.321481339921002700e+03,8.519905055121314774e+01
2.701301257998026117e-01,1.422090964255138033e+03,9.168559274491146027e+01
2.501775443527737841e-01,1.303121334953671067e+03,8.401533728635106968e+01
2.753442786527929842e-01,1.453507321886960654e+03,9.371108017416918301e+01
2.839449846741582406e-01,1.505619725702343658e+03,9.707089101136001830e+01
