z,SNR,m1,m2,Mc,eta,dL,iota,theta,phi,psi
1.713768,358.688410,1221932.723255,492504.960538,1796482.724246,0.204746,13164.730827,0.539889,2.677485,4.233346,4.050901
2.195546,952.016643,327725.154302,205173.411334,717455.040724,0.236778,17815.500049,0.505709,1.735081,5.207585,5.087135
1.797711,352.687645,954107.410489,478482.427252,1626508.655251,0.222443,13959.005687,0.934813,2.934904,0.836613,2.069323
1.632129,354.362566,1267864.966809,679097.084816,2105904.055696,0.227138,12399.638965,0.725296,0.980878,5.674598,6.201739
1.934480,1027.764092,55437.261460,50823.838260,135574.465755,0.249529,15268.474922,0.605689,3.045837,0.062894,0.057430
1.812020,107.927402,2079118.570356,1597080.368522,4453097.845557,0.245702,14095.137574,1.201201,0.431225,0.292110,5.916557
1.839296,1392.620058,116335.405730,91847.584980,255146.412889,0.246541,14355.203648,1.077349,1.652806,3.057417,0.616530
1.703521,562.521074,120067.094888,53869.461916,186342.362388,0.213789,13068.297335,1.336028,1.844456,1.936430,2.617422
2.081261,954.728220,240063.686282,125214.440101,460248.454474,0.225286,16693.285578,0.654506,2.010594,1.184422,6.144828
1.815265,628.000454,214730.594750,160652.197731,454247.664221,0.244812,14126.032663,1.542795,1.228724,5.436751,6.223977
2.016821,519.191716,161042.384158,62865.423388,258670.492866,0.201936,16065.388028,1.270467,1.675778,1.006316,0.136438
2.003593,50.135196,1092879.475180,732856.082678,2330816.699757,0.240279,15936.952730,1.510617,0.652089,0.805693,0.027290
2.092445,130.028054,1793921.071360,713707.637190,2984307.032115,0.203609,16802.619409,1.365477,2.561321,0.911335,3.563419
2.044202,729.814632,289103.778321,179509.926802,600337.904580,0.236326,16331.739511,0.482984,2.426274,3.741556,4.077268
1.699823,1313.055525,141442.175286,82159.510806,251525.722544,0.232427,13033.523203,0.887803,1.080296,5.972539,5.104247
1.956069,458.459081,369819.067414,248669.967881,777348.516605,0.240408,15476.815100,1.027314,0.554281,4.487985,2.859691
2.133383,118.214621,340837.791331,258518.555756,808165.093488,0.245284,17203.749056,1.560921,2.339946,2.090837,1.941921
2.226008,237.734227,1173918.218739,730926.446887,2587023.750558,0.236479,18116.407500,1.118056,1.540143,0.247717,0.681967
1.864238,230.061489,802623.959427,603735.301029,1732227.858959,0.245000,14593.658717,1.107055,1.484540,0.850296,5.059123
2.226190,605.874371,115814.846721,97158.125899,297694.668030,0.248082,18118.208770,0.871821,2.087528,4.140587,6.267495
2.021843,823.481778,441569.739173,189057.982022,746919.677064,0.209917,16114.194012,0.718117,0.942265,3.524557,3.497265
1.679145,377.919670,758789.050741,365503.773155,1212350.126440,0.219409,12839.343634,1.210790,1.642825,2.352841,2.542244
1.661710,581.312395,323985.161114,157409.919490,516648.033737,0.220066,12675.997607,1.046275,2.361459,1.944411,4.589886
1.746105,564.158131,458439.496888,197935.406551,707896.926400,0.210621,13469.822355,0.817374,0.201336,5.250604,4.825869
1.942466,217.603792,1262574.468681,800382.322426,2561805.731118,0.237451,15345.492652,1.508269,0.482762,2.884539,1.921785
1.554480,889.631798,483194.405620,467792.157201,1057237.517363,0.249934,11679.108050,0.759447,0.841600,3.569157,5.309293
1.640952,950.859538,289688.055498,138235.149767,453959.171468,0.218684,12481.962340,0.752441,2.314771,2.042848,1.987500
2.027674,471.070870,168366.800232,103380.666272,345695.290135,0.235703,16170.883611,1.488936,1.778747,1.567296,5.542003
1.910864,271.013573,1941744.872701,548252.903984,2518175.596992,0.171702,15041.067855,1.031939,2.619206,0.060078,1.023420
1.959227,117.601340,1871381.757388,697934.599340,2876080.768499,0.197853,15507.328486,1.341758,2.101985,3.170397,3.906810
2.222305,420.577619,30945.936348,17543.982902,64844.840913,0.230903,18079.789679,0.760540,0.701226,4.147016,0.828738
1.774031,125.306834,3105204.845760,1685073.692106,5473494.568898,0.228028,13734.197480,1.468040,0.597072,2.454167,5.366221
2.038236,555.251613,153615.719577,122774.331737,362779.718022,0.246887,16273.653457,1.513055,2.173238,0.983269,2.655052
